Estado,Ano,Fuzzy_Score,Área Agrícola_mu,Pastagem com Manejo_mu,Vegetação Florestal_mu,Mosaico de Ocupações em Área Florestal_mu,Mosaico de Ocupações em Área Campestre_mu,Área Descoberta_mu,Área Artificial_mu,Área Úmida_mu
BA,2014,0.41102027150887366,0.04443921869193608,0.9517078905967746,0.025240418832666218,0.13054140527124733,0.22418682169318022,0.9511869831955189,0.9592659493704023,0.0015934844192634562
BA,2020,0.4107226387751836,0.04666306670382757,0.9510233033498842,0.025200314988465197,0.129647391492778,0.22588900649278842,0.9511869831955189,0.9541349249980366,0.0020361189801699716
BA,2012,0.4100360171795306,0.04157957079152731,0.9524472448234163,0.02553500879932804,0.13038983737238102,0.21845231512930285,0.9511869831955189,0.9600774889395011,0.0006196883852691218
BA,2010,0.40865131573552527,0.03629575436640654,0.9534436505195355,0.026249946466319087,0.12827617565772179,0.21227547748060852,0.9511869831955189,0.9608628498128223,0.0006196883852691218
BA,2000,0.4068996643348545,0.02420829849498328,0.9570211709710273,0.027255018117282953,0.13191617347893325,0.2001113726481414,0.9511869831955189,0.9628786093876803,0.0006196883852691218
PA,2010,0.4027251624879174,0.004097860925306578,0.8717313167306939,0.22704915171705106,0.09542028120581736,0.014237531792546722,0.9685249399839957,0.9592659493704023,0.08147426817752597
PA,2016,0.4024591197403973,0.01050521413972501,0.8644049081813918,0.2205686675596786,0.11064575029662312,0.014944471651316725,0.9674579887970125,0.9495536532369957,0.08159230406043437
MG,2020,0.40199366994200625,0.07820338628762542,0.8991218733133758,0.012759458875364432,0.18002595600268084,0.14646293107533848,1.0,0.8993167360402105,5.901794145420208e-05
PA,2012,0.4019431869985238,0.004517372723894463,0.8656442319328592,0.22430698948115776,0.09979206778874276,0.0145297862593008,0.9674579887970125,0.957852299798424,0.08144475920679888
PA,2020,0.4015602409967275,0.015230165366034932,0.8570263826674875,0.21885633243413255,0.10555638444250248,0.014857585188227674,0.9671912510002667,0.9521715228147334,0.08159230406043437
PA,2018,0.40149242131431045,0.013287927350427352,0.8609925720075366,0.22004632736669,0.10655341702723249,0.014893129650400468,0.9674579887970125,0.9471452132254771,0.08156279508970728
PA,2014,0.4011892817126536,0.008307494890375326,0.8636311037578098,0.2230793662503376,0.09951379859941788,0.014624571491761584,0.9674579887970125,0.9513076258540799,0.08159230406043437
MG,2016,0.40116325189019597,0.07181345224823486,0.8984346360513361,0.012743862935952923,0.1823942044224671,0.14807822941185764,1.0,0.8957826121102647,5.901794145420208e-05
MG,2018,0.40102304632579105,0.07322585702341138,0.898652820631958,0.012757478438613764,0.1818897675090526,0.1474660747855484,1.0,0.8941333542762899,5.901794145420208e-05
MG,2012,0.40042214401136517,0.06683447138610182,0.8983957691624804,0.013010974342699232,0.18330124356724523,0.14486737966224864,1.0,0.8969082960286918,5.901794145420208e-05
MG,2010,0.400307548958826,0.06309370354886659,0.9009291836451665,0.01344518510028313,0.18383409946169713,0.14305856147612203,1.0,0.8979816225555642,0.00011803588290840416
MG,2014,0.4001729763823416,0.0688463861018209,0.8981148675566595,0.012970375389310543,0.18213606534471039,0.1430032700905199,1.0,0.8962538286342574,5.901794145420208e-05
MG,2000,0.4001664698831102,0.04804498792270531,0.9040800516576286,0.0140818955156228,0.1890039857620905,0.1446146190423532,1.0,0.9013586743108458,0.00014754485363550521
RR,2020,0.39891744702383924,0.0013165993125232255,0.9986785257789057,0.04171542460687712,0.010432134289158396,0.0010426375570686088,1.0,0.9984292782533574,0.1397249763928234
RR,2018,0.39881772926295117,0.001007408955778521,0.9988419433797763,0.04182484373735151,0.010150312727203832,0.000955751093979558,1.0,0.9980365978166967,0.1397249763928234
RR,2016,0.3987691225682842,0.0007577341137123746,0.9989002437130599,0.04189341635984338,0.009915856133644995,0.0009241560164926305,1.0,0.9980365978166967,0.1397249763928234
RR,2014,0.39875029468082707,0.0007040249907097734,0.9990080109957962,0.04198179334984192,0.009649428186419043,0.0008451683227753117,1.0,0.9980889552082515,0.1397249763928234
RR,2012,0.3986995874012472,0.0005966067447045709,0.9991643618896021,0.04223801235445956,0.008641738483799996,0.0008017250912307863,1.0,0.9984292782533574,0.1397249763928234
RR,2010,0.39855546238204265,0.000590800353028614,0.9992288455915673,0.042557852889692396,0.007197106947730389,0.0007148386281417355,1.0,0.9984292782533574,0.1397249763928234
RR,2000,0.39825725223758074,0.0004645113340765515,0.9996201644952737,0.04336339553802649,0.0038720861663505053,0.00042653354607352173,1.0,0.9985863504280217,0.1397249763928234
PR,2016,0.39069957487122003,0.10331748188405798,0.9834771555444058,0.005692517885200518,0.07917172879766396,0.010378982954455697,1.0,0.9435587319039765,0.0
PR,2010,0.3906631385061995,0.10157411278335192,0.9833852883525651,0.0057212342180852,0.08073595687893277,0.01001563956335603,1.0,0.9438728762533051,0.0
PR,2018,0.39065686885440926,0.1038952178558157,0.9835743227665451,0.005689547230074516,0.0787868884294487,0.010299995260738376,1.0,0.9430089792926516,0.0
PR,2014,0.3906525593371916,0.1030039367335563,0.9834700888373412,0.005700192077609355,0.07935882042282708,0.01010252602644508,1.0,0.9435849105997539,0.0
