Estado,Ano,perfil_conservador_Fuzzy_Score,perfil_produtivista_Fuzzy_Score,perfil_especulativo_Fuzzy_Score,perfil_exportador_Fuzzy_Score
MT,2012,0.25339725299540017,0.27512550060437685,0.4901244424262373,0.25454181199871545
BA,2000,0.251868832768534,0.23707894138721872,0.5186879774771829,0.18792710077133007
MG,2020,0.24550543528056823,0.2500901150378821,0.5002923658355991,0.20450195022259046
MG,2016,0.24521386518555027,0.247685506581114,0.4989943810432762,0.20213248342589493
MG,2018,0.2451310571492711,0.2480795264538417,0.4989140108549367,0.2025149132944586
MG,2000,0.2445625515342926,0.2394787385677575,0.49841199210700965,0.19358539569445846
MG,2012,0.24450292643767202,0.24554264182348806,0.49820105651525515,0.19997820644237455
MG,2010,0.24438062810623015,0.24427506910394256,0.4984797404071702,0.19856815425496094
MG,2014,0.244176731523784,0.2459796055047067,0.49801341445693637,0.2004312451515536
RR,2020,0.22812931722009025,0.2196074735001605,0.5118707078335054,0.1815602736201537
RR,2018,0.22807262545805557,0.21945457620625972,0.5117885236052988,0.18139373448968565
RR,2016,0.22803415204326802,0.21934078839790622,0.5117488145741186,0.1812736030335434
RR,2014,0.2280168764796772,0.21930699548146207,0.5117552381341277,0.18123000290346253
RR,2012,0.22795798165797335,0.2192171880317413,0.5117575877291801,0.1811195669588206
RR,2010,0.2278300738496983,0.21910014609887488,0.5116548941346257,0.1809833088140942
RR,2000,0.22756409436188996,0.2188158376688865,0.511496128957583,0.18063915730650382
PR,2000,0.22121073205226255,0.244081971784669,0.5110725297218337,0.19464478875290486
PR,2010,0.2210186936580258,0.24580910082729993,0.5114799179273054,0.1963537746987674
PR,2016,0.2209977624664233,0.24637696786699462,0.511598901695259,0.19691848419551433
PR,2018,0.220967299749419,0.2465436114756395,0.5115855694942597,0.19708041797580855
PR,2014,0.22095590767775103,0.24624398295983252,0.5115455076038871,0.19678546891408497
PR,2012,0.22092447354576147,0.2460240390024754,0.5114618284211975,0.1965709273883248
PR,2020,0.22049070721368688,0.24636313069610097,0.5103520547002889,0.19688576833868202
SP,2020,0.21729219937912497,0.25648544455001526,0.49428143987263,0.20770449502738114
SP,2000,0.2171562076116912,0.24454505140098776,0.48955099795603596,0.1959978205029378
RS,2016,0.2170541318621784,0.2525294160588335,0.5127714990057946,0.20234031871609073
RS,2018,0.2169591663792232,0.25353477883199776,0.5128695791174213,0.20334533546244007
RS,2014,0.21695536969691562,0.25203336601783877,0.5126183924185412,0.20184422619790734
SP,2010,0.21679043358764086,0.25104057141223596,0.49145254299457247,0.20237894562718015
SP,2016,0.21677341489950144,0.25481192878748904,0.4925693700446232,0.2060812136335485
SP,2018,0.21676613694324195,0.2552106277352167,0.4926667861782574,0.20646280422637284
SP,2014,0.21670141099863144,0.25417468530287746,0.49239396395690505,0.20544127718874505
SP,2012,0.2165597392480128,0.25293017806136503,0.4918635648430661,0.20424875134730558
MA,2000,0.21641927986239318,0.2074211543778808,0.49210367853438375,0.1681257339900984
RS,2020,0.21636336748749568,0.25368619619874594,0.5112172381258697,0.20349732754875371
RS,2012,0.216265011260026,0.2504710656539234,0.5118982980551535,0.2002804087172395
PI,2020,0.2161022059776217,0.21370653646381246,0.5074943322822352,0.16315618866948312
MS,2020,0.21601475351109173,0.2343931015611228,0.47987758242226153,0.20796461252011123
RS,2010,0.2159075880536692,0.24937823248366672,0.5114544556009328,0.19918726724385458
MS,2018,0.21589737929168318,0.23280710841490293,0.4785644125333246,0.20712990319290583
PI,2018,0.21585337276506866,0.21319594858973379,0.5071593125437617,0.16263901779777007
