Estado,Ano,fuzzy_score_base,sensitivity_range,sensitivity_std,avg_score_mod
MT,2000,0.3923421513562731,0.009823502253918981,0.003473350816306449,0.39246489905798254
MT,2010,0.3741442834994855,0.011638062130515103,0.004114934934241336,0.37428970468858347
MT,2012,0.37305356051336686,0.012153400550135585,0.004297146031077893,0.37320542101555054
MT,2014,0.38189626502342666,0.013371005050920537,0.0047276612869839585,0.3820633398707797
MT,2016,0.3889146189866862,0.014290019660883169,0.005052602439660733,0.38909317720608866
MT,2018,0.38906056553371354,0.014509559444107312,0.005130226352758437,0.38924186697067
MT,2020,0.39116380516918803,0.014890049642446057,0.005264758407298281,0.3913498609489605
PA,2000,0.45972805582329035,0.023411242395904364,0.00827764434564286,0.45943552510217084
PA,2010,0.41954704483665295,0.021367606356720137,0.007555064483445359,0.4192800499804884
PA,2012,0.4170807105599636,0.02084881943430056,0.007371634080122926,0.41682019810699467
PA,2014,0.4151939027847322,0.020695029625971306,0.0073172577546034845,0.4149353119830269
PA,2016,0.4233539337178469,0.019175603579335232,0.0067800257610652,0.4231143286149607
PA,2018,0.41855737689844486,0.01951054272834346,0.006898452075484451,0.41831358662720525
PA,2020,0.41677942183432,0.01935635204476399,0.006843934010253294,0.4165375582234042
PB,2000,0.23055239235642275,0.02280534776348747,0.008063414780493503,0.2308373522365444
PB,2010,0.23233570269126444,0.022987583530483996,0.008127848903242871,0.23262293966370917
PB,2012,0.23596386756766574,0.023356081080850993,0.008258140649942831,0.2362557090310775
PB,2014,0.23666177536963404,0.023427360734939173,0.008283343397223145,0.23695450749438957
PB,2016,0.23677187261246946,0.023438328896745325,0.008287221471740576,0.23706474178780218
PB,2018,0.23693610277671004,0.023455968721724063,0.008293458483643839,0.2372291923671166
PB,2020,0.23732596712963777,0.023494292153896423,0.008307008714608204,0.23761953558319301
PE,2000,0.24615722622089456,0.02434560677167283,0.00860801280115052,0.2464614321141391
PE,2010,0.2526581557841145,0.025010192007116377,0.008842993932153181,0.25297066587561057
PE,2012,0.25859308878884146,0.02561810488870797,0.009057937100988619,0.2589131949399837
PE,2014,0.2592899936850294,0.025686794393095402,0.009082224034504656,0.25961095813279306
PE,2016,0.2588901708057573,0.025646504431618894,0.0090679784867391,0.25921063181797976
PE,2018,0.25946333976399644,0.025704794848066648,0.009088588556378042,0.2597845291330173
PE,2020,0.2592870071340894,0.025687878104918932,0.009082607208575347,0.2596079851231678
PI,2000,0.2665193047609868,0.023204576774395136,0.008204572422145819,0.2668092531311884
PI,2010,0.2705833116705578,0.023658883626409055,0.008365204245146276,0.2708789367455145
PI,2012,0.2726596857159763,0.023903348205394692,0.00845164095814638,0.27295836545152585
PI,2014,0.27438488705211544,0.0240993295921475,0.00852093519680623,0.27468601563576217
PI,2016,0.2750512696490251,0.024175540049921007,0.008547881356014695,0.275353350505934
PI,2018,0.27543795969370033,0.024177930033469075,0.008548726395909121,0.27574007041419357
PI,2020,0.27660159136095946,0.02429340918909173,0.00858955700897163,0.27690514502925095
PR,2000,0.3082711317259987,0.029290762495516043,0.010356499260073157,0.308637128870877
PR,2010,0.3074846212550531,0.029227266909237104,0.01033404876932828,0.30784982500292457
PR,2012,0.3070098331983077,0.029185132414996873,0.010319151039762877,0.3073745104626302
PR,2014,0.30719631664822994,0.02920424243232378,0.010325907875824646,0.3075612326981348
PR,2016,0.30739510564039063,0.029226314982253532,0.01033371219116299,0.30776029749363987
PR,2018,0.30726896260109715,0.029214498932783273,0.010329534324246251,0.3076340068091503
